lexEntry	nrOfTokens	isPrefix	polarity
a lie	2	0	negative
abandon	1	1	negative
abas	1	1	negative
abattoir	1	1	negative
abdicat	1	1	negative
aberra	1	1	negative
abhor	1	1	negative
abject	1	1	negative
abnormal	1	1	negative
abolish	1	1	negative
abominab	1	1	negative
abominat	1	1	negative
abrasiv	1	1	negative
absent	1	1	negative
abstrus	1	1	negative
absurd	1	1	negative
abus	1	1	negative
accident	1	1	negative
accost	1	1	negative
accursed	1	1	negative
accusation	1	1	negative
accuse	1	1	negative
accusing	1	1	negative
acerbi	1	1	negative
ache	1	1	negative
aching	1	1	negative
achy	1	0	negative
acomia	1	1	negative
acrimon	1	1	negative
adactylism	1	1	negative
addict	1	1	negative
admonish	1	1	negative
admonition	1	1	negative
adulterat	1	1	negative
adultery	1	1	negative
advers	1	1	negative
affectation	1	1	negative
affected	1	1	negative
affected manner	2	1	negative
afflict	1	1	negative
affright	1	1	negative
affront	1	1	negative
afraid	1	1	negative
against	1	0	negative
ageism	1	0	negative
ageist	1	0	negative
aggravat	1	1	negative
aggress	1	1	negative
aggressiv	1	1	negative
aggriev	1	1	negative
aghast	1	1	negative
agitat	1	1	negative
agoni	1	1	negative
agony	1	1	negative
ail	1	1	negative
aimles	1	1	negative
alarm	1	1	negative
alas	1	0	negative
alien	1	1	negative
allegation	1	1	negative
allege	1	0	negative
alleged	1	1	negative
aloof	1	1	negative
altercation	1	1	negative
amateuri	1	1	negative
ambiguit	1	1	negative
ambiguou	1	1	negative
ambivalent	1	1	negative
ambush	1	1	negative
amiss	1	1	negative
amnesia	1	1	negative
amok	1	1	negative
amoral	1	1	negative
anal	1	0	negative
anality	1	0	negative
anally	1	0	negative
anarchist	1	1	negative
anarchy	1	1	negative
anchoret	1	1	negative
anchorit	1	1	negative
anger	1	1	negative
angr	1	1	negative
angry	1	1	negative
anguish	1	1	negative
animosity	1	1	negative
animus	1	1	negative
annihilat	1	1	negative
annoy	1	1	negative
anomalous	1	1	negative
antagoni	1	1	negative
anticlimax	1	1	negative
antipath	1	1	negative
antiquate	1	1	negative
antisocial	1	1	negative
antithe	1	1	negative
anxi	1	1	negative
apath	1	1	negative
apologist	1	0	negative
appal	1	1	negative
appall	1	1	negative
apprehens	1	1	negative
arbitrar	1	1	negative
arduous	1	1	negative
argue	1	1	negative
arguing	1	1	negative
argument	1	1	negative
arrogan	1	1	negative
arse	1	0	negative
arsehole	1	1	negative
arses	1	0	negative
artificial	1	1	negative
artless	1	1	negative
asham	1	1	negative
asinin	1	1	negative
ass	1	0	negative
assail	1	1	negative
assassin	1	1	negative
assault	1	1	negative
asses	1	0	negative
asshol	1	1	negative
astray	1	1	negative
asunder	1	1	negative
at odds	2	0	negative
atroc	1	1	negative
atrophy	1	1	negative
attack	1	1	negative
audacity	1	1	negative
