	speech	country	speaker	participanttype	role_in_un	spv	basename	topic	date	year	month	day	filename	types	tokens	sentences	topic2	subtopic	agenda_item1	agenda_item2	agenda_item3	decision
46429	2	Russian Federation	Mr. Churkin	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch002.txt	292	662	24	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46431	4	United States Of America	Ms. Power	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch004.txt	463	1136	46	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46432	5	France	Mr. Araud	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch005.txt	430	1026	47	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46433	6	United Kingdom Of Great Britain And Northern Ireland	Sir Mark Lyall Grant	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch006.txt	156	312	14	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46434	7	Lithuania	Ms. Murmokaite	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch007.txt	376	942	22	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46435	8	Rwanda	Mr. Gasana	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch008.txt	247	554	24	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46436	9	China	Mr. Liu J Ieyi	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch009.txt	244	539	22	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46437	10	Chile	Mr. Errazuriz	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch010.txt	136	287	9	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46438	11	Argentina	Mrs. Perceval	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch011.txt	124	209	8	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46439	12	Australia	Mr. Quinlan	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch012.txt	192	393	19	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46440	13	Republic Of Korea	Mr. Oh Joon	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch013.txt	81	119	4	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46441	14	Nigeria	Mrs. Ngu	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch014.txt	181	358	13	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46442	15	Chad	Mr. Cherif	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch015.txt	127	236	8	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46443	16	Jordan	Prince Zeid Ra'Ad Zeid Al-Hussein	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch016.txt	84	137	3	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46444	17	Luxembourg	Ms. Lucas	The President		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch017.txt	278	711	28	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46445	18	Ukraine	Mr. Sergeyev	Guest		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch018.txt	313	742	31	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46447	20	Russian Federation	Mr. Churkin	Mentioned		7138	UNSC_2014_SPV.7138	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	15 March 2014	2014	3	15	UNSC_2014_SPV.7138_spch020.txt	274	577	23	Items relating to Ukraine	Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)	Europe	Ukraine	Ukraine	veto
46669	2	UN	Mr. Fernandez-Taranco	Guest	Assistant Secretary-General For Peacebuilding Support	7154	UNSC_2014_SPV.7154	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	13 April 2014	2014	4	13	UNSC_2014_SPV.7154_spch002.txt	318	629	27	Items relating to Ukraine	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	Europe	Ukraine	Ukraine	
46671	4	Russian Federation	Mr. Churkin	Mentioned		7154	UNSC_2014_SPV.7154	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	13 April 2014	2014	4	13	UNSC_2014_SPV.7154_spch004.txt	374	819	33	Items relating to Ukraine	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	Europe	Ukraine	Ukraine	
46672	5	Lithuania	Ms. Murmokaite	Mentioned		7154	UNSC_2014_SPV.7154	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	13 April 2014	2014	4	13	UNSC_2014_SPV.7154_spch005.txt	380	819	29	Items relating to Ukraine	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	Europe	Ukraine	Ukraine	
46673	6	United States Of America	Ms. Power	Mentioned		7154	UNSC_2014_SPV.7154	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	13 April 2014	2014	4	13	UNSC_2014_SPV.7154_spch006.txt	350	745	28	Items relating to Ukraine	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	Europe	Ukraine	Ukraine	
46674	7	United Kingdom Of Great Britain And Northern Ireland	Sir Mark Lyall Grant	Mentioned		7154	UNSC_2014_SPV.7154	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	13 April 2014	2014	4	13	UNSC_2014_SPV.7154_spch007.txt	385	829	35	Items relating to Ukraine	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	Europe	Ukraine	Ukraine	
46675	8	France	Mr. Araud	Mentioned		7154	UNSC_2014_SPV.7154	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	13 April 2014	2014	4	13	UNSC_2014_SPV.7154_spch008.txt	364	769	32	Items relating to Ukraine	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	Europe	Ukraine	Ukraine	
46676	9	Rwanda	Mr. Gasana	Mentioned		7154	UNSC_2014_SPV.7154	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	13 April 2014	2014	4	13	UNSC_2014_SPV.7154_spch009.txt	223	440	22	Items relating to Ukraine	Letter dated 13 April 2014 from the Permanent Representative of the Russian Federation to the United Nations addressed to the President of the Security Council (S/2014/264)	Europe	Ukraine	Ukraine	
