,filename,fileid,char_start_offset,char_end_offset,paragraph_id,text
0,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,0,52,0,I thank the President for convening today's meeting.
1,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,52,54,1,"

"
2,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,54,689,2,"As a matter of priority, on behalf of the Government and the people of Indonesia, I wish to express our deepest condolences to all affected nations, especially our good neighbour Malaysia, over the deaths of the 298 civilian passengers and crew aboard Malaysia Airlines Flight MH-17, which crashed yesterday as it was flying over eastern Ukraine. As the Council may be aware, 12 Indonesian citizens were confirmed among the deceased. Our thoughts and prayers are with the families of the victims. Allow me also to take this opportunity to sincerely thank the delegations that have expressed their sympathy and condolences to Indonesia."
3,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,689,691,3,"

"
4,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,691,1156,4,"According to various sources and reports, the airplane was presumably shot down by a surface-to-air missile. If that is indeed the case, such a heinous act is tantamount to a grave violation of international law, in particular international humanitarian law. In that regard, Indonesia calls upon the Security Council to take immediate steps to enable a thorough, transparent and independent international investigation to be conducted upon this horrendous incident."
5,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,1156,1158,5,"

"
6,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,1158,1488,6,"Indonesia stands ready to join and support such an investigation. If the investigation concludes that the crash was indeed intentionally caused by human factors, be it a missile strike or otherwise, Indonesia demands that the perpetrators of such a heinous and inhuman crime be brought to justice to the fullest extent of the law."
7,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,1488,1490,7,"

"
8,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,1490,1689,8,"As a precautionary measure, yesterday my President instructed all Indonesian airlines to exercise the utmost caution and to avoid the airspace in and around conflict areas, including that of Ukraine."
9,UNSC_2014_SPV.7219_spch025_Indonesia.txt,UNSC_2014_SPV.7219_spch025,1689,1691,9,"

"
